Platform,Title,Company,Budget,Link,Image_Path
Guru,AI Solutions,Suretek Infosoft Pvt. Ltd.,"$15/hr   ·   Starting at $1,000",https://www.guru.com/service/ai-solutions/india/delhi/noida/5647659,image2/service_1.jpg
Guru,Mobile and Web Application Development,On Wave Software Group,$30/hr   ·   Starting at $120,https://www.guru.com/service/mobile-and-web-application-development/st-kitts/saint-paul-charlestown/charlestown/5117908,image2/service_2.jpg
Guru,Web Application Development,Scopic,"$38/hr   ·   Starting at $1,000",https://www.guru.com/service/web-application-development/united-states/massachusetts/rutland/302,image2/service_3.jpg
Guru,Mobile and Web Application Development,Synoviq,"$20/hr   ·   Starting at $1,000",https://www.guru.com/service/mobile-and-web-application-development/india/west-bengal/kolkata/4772974,image2/service_4.jpg
Guru,Mobile and Web Application Development,Top Guru Assistants,"$24/hr   ·   Starting at $1,000",https://www.guru.com/service/mobile-and-web-application-development/india/delhi/new-delhi/3956149,image2/service_5.jpg
Guru,Highly experienced full-stack developer,YanBin Pang,$50/hr   ·   Starting at $25,https://www.guru.com/service/highly-experienced-full-stack-developer/china/liaoning/dandong/4360905,image2/service_6.jpg
Guru,Web+iPhone+iPad+Android+Multimedia,Yu Dai,$44/hr   ·   Starting at $25,https://www.guru.com/service/web-iphone-ipad-android-multimedia/china/liaoning/dandong/4360911,image2/service_7.jpg
Guru,Logo / Business Card / Stationary Design,hardworker1989,$10/hr   ·   Starting at $50,https://www.guru.com/service/logo-business-card-stationary-design/pakistan/sindh/karachi/5322740,image2/service_8.jpg
Guru,"Python (Django, Flask) | Java (Spring)",Zco U.,"$80/hr   ·   Starting at $1,000",https://www.guru.com/service/python-django-flask-java-spring/united-states/california/oakland/5110369,image2/service_9.jpg
Guru,Salesforce Project Manager,Susana Manuela Cerna Rodriguez,$60/hr   ·   Starting at $60,https://www.guru.com/service/salesforce-project-manager/peru/cajamarca/cajamarca/5236278,image2/service_10.jpg
Guru,Transcription Team Leader & Reviewer,Abdullah Ateya,$25/hr   ·   Starting at $100,https://www.guru.com/service/transcription-team-leader-reviewer/turkey/istanbul/istanbul/4887216,image2/service_11.jpg
